ID,author,title,year,volume,number,pages,doi,ENTRYTYPE,series,abstract,search_set,container_title,author_full,author_first,title_short,container_title_short,origin
743,pedro ferreira andrahul telang andmigul godinho andd e,effect friends churn consumer behavior mobile networks,,36,2,,101080/0742122220191598683,article,,,,j mana info syst,Pedro Ferreira and Rahul Telang and Miguel Godinho and D. E Matos,pedro,effect friends churn consumer behavior mobile networks,jmis,743
744,john,organizational size information system sophistication,,2,3,,,article,,,,j mana info syst,John A Lehman,john,organizational size information system sophistication,jmis,744
745,michal j gallivan andvalerie k spitler andmarios koufaris,information technology training really matter social information processing analysis coworkers influence it usage workplace,,22,1,,,article,,,,j mana info syst,Michael J Gallivan and Valerie K Spitler and Marios Koufaris,michal,information technology training really matter social information processing analysis coworkers,jmis,745
746,ken h guo andyufei yuan andnorman p archer,understanding nonmalicious security violations workplace composite behavior model,,28,2,,102753/mis0742_1222280208,article,,,,j mana info syst,Ken H Guo and Yufei Yuan and Norman P Archer and E. Connelly,ken,understanding nonmalicious security violations workplace composite behavior model,jmis,746
747,robert w blanning anddavid r king androbert w,special issue decision support knowledge based systems,,6,3,,,article,,,,j mana info syst,Robert W Blanning and David R King and Robert W Blanking,robert,special issue decision support knowledge based systems,jmis,747
748,ingrid baur andjose parramoyano andkarl schmedders andgerhard schwabe,multi party certification blockchain its impact market lemons,,39,2,,101080/0742122220222063555,article,,,,j mana info syst,Ingrid Bauer and José Parra-Moyano and Karl Schmedders and Gerhard Schwabe,ingrid,multi party certification blockchain its impact market lemons,jmis,748
749,michal j davern androbert j kauffman,discovering potential realizing value information technology investments,,16,4,,,article,,,,j mana info syst,Michael J Davern and Robert J Kauffman,michal,discovering potential realizing value information technology investments,jmis,749
750,atish p sinha andjerrold h may andatish p,evaluating l ining predictive data mining models using receiver operating characteristic curves,,21,3,,,article,,,,j mana info syst,Atish P Sinha and Jerrold H May and Atish P Slnha,atish,evaluating l ining predictive data mining models using receiver operating,jmis,750
751,yang,crafting rules context reflective data quality problem solving,,20,3,,,article,,,,j mana info syst,Yang W Lee,yang,crafting rules context reflective data quality problem solving,jmis,751
752,t,total quality management information systems development key constructs relationships t ravichandran arun rai,,16,3,,,article,,,,j mana info syst,T. Ravichandran,t,total quality management information systems development key constructs relationships t,jmis,752
753,jiaheng xie andzhu zhang andxiao liu anddaniel zeng,unveiling hidden truth drug addiction social media approach using similarity network based deep learning,,38,1,,101080/0742122220211870388,article,,,,j mana info syst,Jiaheng Xie and Zhu Zhang and Xiao Liu and Daniel Zeng and Alfred Lerner,jiaheng,unveiling hidden truth drug addiction social media approach using similarity,jmis,753
754,sunil mithas andnarayan ramasubbu andclas fornell andmike hallman,designing web sites customer loyalty across business domains multilevel analysis,,23,3,,102753/mis0742_1222230305,article,,,,j mana info syst,Sunil Mithas and Narayan Ramasubbu and Claes Fornell and Mike Hallman,sunil,designing web sites customer loyalty across business domains multilevel analysis,jmis,754
755,anthony vance andpaul benjamin lowry anddennis eggett andpaul,using accountability reduce access policy violations information systems,,29,4,,102753/mis0742_1222290410,article,,,,j mana info syst,Anthony Vance and Paul Benjamin Lowry and Dennis Eggett and Paul Benjamin,anthony,using accountability reduce access policy violations information systems,jmis,755
756,peng xu andbalasubramaniam ramesh,software process tailoring empirical investigation,,24,2,,102753/mis0742_1222240211,article,,,,j mana info syst,Peng Xu and Balasubramaniam Ramesh,peng,software process tailoring empirical investigation,jmis,756
757,nabil,special issue database management nabil r adam guest editor,,4,2,,,article,,,,j mana info syst,Nabil R Adam,nabil,special issue database management nabil r adam guest editor,jmis,757
758,jahangir,automated software design methodology using capo,,3,3,,,article,,,,j mana info syst,Jahangir Karimi,jahangir,automated software design methodology using capo,jmis,758
759,xianjun geng andyoungjin lee,competing piracy multichannel sequential search approach xianjun geng young jin lee,,30,2,,102753/mis0742_1222300206,article,,,,j mana info syst,Xianjun Geng and Young-Jin Lee,xianjun,competing piracy multichannel sequential search approach xianjun geng young jin,jmis,759
760,chandra s amaravadi andolivia r liu sheng andjoy,aei knowledge based approach integrated office systems,,9,1,,,article,,,,j mana info syst,Chandra S Amaravadi and Olivia R Liu Sheng and Joey F George and Jay F Nunamaker and S. Chandra and Amaravadi,chandra,aei knowledge based approach integrated office systems,jmis,760
761,xia zhao andling xu andandrew b whinston,"managing interdependent information security risks cyberinsurance, managed security services, risk pooling arrangements",,30,1,,102753/mis0742_1222300104,article,,,,j mana info syst,Xia Zhao and Ling Xue and Andrew B Whinston,xia,"managing interdependent information security risks cyberinsurance, managed security services, risk",jmis,761
762,tony,improved decision making through better integration human resource business process factors hospital situation tony holden paul we helmu,,12,3,,,article,,,,j mana info syst,Tony Holden,tony,improved decision making through better integration human resource business process,jmis,762
763,jillian m hender anddouglas l dean andthomas l,examination impact stimuli type gss structure creativity brainstorming versus non brainstorming techniques gss environment,,18,4,,,article,,,,j mana info syst,Jillian M Hender and Douglas L Dean and Thomas L Rodgers and Jay F Nunamaker and M. Jillian and Hender,jillian,examination impact stimuli type gss structure creativity brainstorming versus non,jmis,763
764,ilkka,data is more than knowledge implications reversed knowledge hierarchy knowledge management organizational memory,,16,3,,,article,,,,j mana info syst,Ilkka Tuomi,ilkka,data is more than knowledge implications reversed knowledge hierarchy knowledge,jmis,764
765,bruce a reinig androbert o briggs andjay f,measurement ideation quality,,23,4,,102753/mis0742_1222230407,article,,,,j mana info syst,Bruce A Reinig and Robert O Briggs and Jay F Nunamaker and A. Bruce and Reinig,bruce,measurement ideation quality,jmis,765
766,gregory s dawson andrichard t watson andmarieclaude boudreau,information asymmetry information systems consulting toward theory relationship constraints,,27,3,,102753/mis0742_1222270306,article,,,,j mana info syst,Gregory S Dawson and Richard T Watson and Marie-Claude Boudreau,gregory,information asymmetry information systems consulting toward theory relationship constraints,jmis,766
767,yan tam,dynamic price elasticity diffusion mainframe computing karyantam,,13,2,,,article,,,,j mana info syst,Yan Kar and Tam,yan,dynamic price elasticity diffusion mainframe computing karyantam,jmis,767
768,atreyi kankanhalli andbernard c y tan andkwokkee wei,conflict performance global virtual teams,,23,3,,102753/mis0742_1222230309,article,,,,j mana info syst,Atreyi Kankanhalli and Bernard C Y Tan and Kwok-Kee Wei,atreyi,conflict performance global virtual teams,jmis,768
769,rajiv kohli andsarv devaraj andm adam mahmood,understanding determinants online consumer satisfaction decision process perspective,,21,1,,,article,,,,j mana info syst,Rajiv Kohli and Sarv Devaraj and M. Adam Mahmood,rajiv,understanding determinants online consumer satisfaction decision process perspective,jmis,769
770,reina y arakji andkarl r lang,digital consumer networks producer consumer collaboration innovation product development video game industry,,24,2,,102753/mis0742_1222240208,article,,,,j mana info syst,Reina Y Arakji and Karl R Lang,reina,digital consumer networks producer consumer collaboration innovation product development video,jmis,770
771,ihlsoon,critical factors assimilation object oriented programming languages ihlsoon cho andyoung gul kim,,18,3,,,article,,,,j mana info syst,Ihlsoon Cho,ihlsoon,critical factors assimilation object oriented programming languages ihlsoon cho andyoung,jmis,771
772,nabil r adam anddouglas h jones,security statistical databases output perturbation technique,,6,1,,,article,,,,j mana info syst,Nabil R Adam and Douglas H Jones,nabil,security statistical databases output perturbation technique,jmis,772
774,gregg elofson andbenn konsynski,delegation technologies environmental scanning intelligent agents,,8,1,,,article,,,,j mana info syst,Gregg Elofson and Benn Konsynski,gregg,delegation technologies environmental scanning intelligent agents,jmis,774
775,robert f easley andsarv devaraj andj michal crant,relating collaborative technology use teamwork quality performance empirical analysis,,19,4,,,article,,,,j mana info syst,Robert F Easley and Sarv Devaraj and J. Michael Crant,robert,relating collaborative technology use teamwork quality performance empirical analysis,jmis,775
776,philip menard andgregory j bott androbert e crossler,user motivations protecting information security protection motivation theory versus self determination theory,,34,4,,101080/0742122220171394083,article,,,,j mana info syst,Philip Menard and Gregory J Bott and Robert E Crossler,philip,user motivations protecting information security protection motivation theory versus self,jmis,776
777,y alex tung andjames r marsden,trading volumes without private information study using computerized market experiments,,17,1,,,article,,,,j mana info syst,Y. Alex Tung and James R Marsden,y,trading volumes without private information study using computerized market experiments,jmis,777
778,josefek  and androbert j kauffman androbert a,nearing threshold economics approach pressure information systems professionals separate employer,,20,1,,,article,,,,j mana info syst,Josefek Jr And and Robert J Kauffman and Robert A Josefek,josefek,nearing threshold economics approach pressure information systems professionals separate employer,jmis,778
779,levent,model management approach business process reengineering levent v orman,,15,1,,,article,,,,j mana info syst,Levent V Orman,levent,model management approach business process reengineering levent v orman,jmis,779
780,john w satzinger andlorne olfman,user interface consistency across end user applications effects mental models john w satzinger lorne olfman,,14,4,,,article,,,,j mana info syst,John W Satzinger and Lorne Olfman,john,user interface consistency across end user applications effects mental models,jmis,780
781,e,systems think response vision decision support systems e sue weber,,2,4,,,article,,,,j mana info syst,E. Sue Weber,e,systems think response vision decision support systems e sue weber,jmis,781
782,hugh j watson andastrid lipp andpamela z jackson,organizational support decision support systems,,5,4,,,article,,,,j mana info syst,Hugh J Watson and Astrid Lipp and Pamela Z Jackson and Abdelhafid Dahmani and William B Fredenberger and C. Herman and Mary Virginia Terry,hugh,organizational support decision support systems,jmis,782
784,robert o briggs andjay f nunamaker,special section creating value information,,28,4,,102753/mis0742_1222280401,article,,,,j mana info syst,Robert O Briggs and Jay F Nunamaker,robert,special section creating value information,jmis,784
