ID,author,title,year,volume,number,pages,doi,ENTRYTYPE,series,abstract,search_set,container_title,author_full,author_first,title_short,container_title_short,origin
41,maryliz grise andr brent gallupe andmaryliz gris,information overload addressing productivity paradox face face electronic meetings,,16,3,,,article,,,,j mana info syst,Mary-Liz Grise and R. Brent Gallupe and Mary-Liz Gris^,maryliz,information overload addressing productivity paradox face face electronic meetings,jmis,41
43,benn,special issue decision support knowledge based systems,,5,1,,,article,,,,j mana info syst,Benn R Konsynski,benn,special issue decision support knowledge based systems,jmis,43
44,indranil bardhan andjonathan whitaker andsunil mithas,"information technology, production process outsourcing, manufacturing plant performance",,23,2,,102753/mis0742_1222230202,article,,,,j mana info syst,Indranil Bardhan and Jonathan Whitaker and Sunil Mithas,indranil,"information technology, production process outsourcing, manufacturing plant performance",jmis,44
45,,differential innovativeness outcomes user employee participation online user innovation community,,35,3,,101080/0742122220181481669,article,,,,j mana info syst,,,differential innovativeness outcomes user employee participation online user innovation community,jmis,45
46,brad m tuttle andadrian harrell andpaul harrison,"moral hazard, ethical considerations, decision implement information system",,13,4,,,article,,,,j mana info syst,Brad M Tuttle and Adrian Harrell and Paul Harrison,brad,"moral hazard, ethical considerations, decision implement information system",jmis,46
47,eric,how information changes consumer behavior how consumer behavior determines corporate strategy,,25,2,,102753/mis0742_1222250202,article,,,,j mana info syst,Eric K Clemons,eric,how information changes consumer behavior how consumer behavior determines corporate,jmis,47
48,matthew j liberatore andgeorge j titus andpaul w,effects display formats information systems design,,5,3,,,article,,,,j mana info syst,Matthew J Liberatore and George J Titus and Paul W Dixon and Is Manager,matthew,effects display formats information systems design,jmis,48
49,xianghua lu andxia zhao,differential effects keyword selection search engine advertising direct indirect sales,,30,4,,102753/mis0742_1222300411,article,,,,j mana info syst,Xianghua Lu and Xia Zhao,xianghua,differential effects keyword selection search engine advertising direct indirect sales,jmis,49
50,mei lin andshaojin li andandrew b whinston,innovation price competition 2 sided market,,28,2,,102753/mis0742_1222280207,article,,,,j mana info syst,Mei Lin and Shaojin Li and Andrew B Whinston,mei,innovation price competition 2 sided market,jmis,50
51,jongmin,"relationships among performance accounting information systems, influence factors, evolution level information systems jong min choe",,12,4,,,article,,,,j mana info syst,Jong-Min Choe,jongmin,"relationships among performance accounting information systems, influence factors, evolution level",jmis,51
52,magid igbaria andjack j baroudi,"motivational model microcomputer usage magid igbaria, saroj parasuraman, jack j baroudi",,13,1,,,article,,,,j mana info syst,Magid Igbaria and Jack J Baroudi,magid,"motivational model microcomputer usage magid igbaria, saroj parasuraman, jack j",jmis,52
53,jaime gomez andidana salazar andpilar vargas,"firm boundaries, information processing capacity, performance manufacturing firms",,33,3,,101080/0742122220161243954,article,,,,j mana info syst,Jaime Gómez and Idana Salazar and Pilar Vargas,jaime,"firm boundaries, information processing capacity, performance manufacturing firms",jmis,53
54,alexander benlian andmarios koufaris andthomas hess,service quality software service developing saas qual measure examining its role usage continuance,,28,3,,102753/mis0742_1222280303,article,,,,j mana info syst,Alexander Benlian and Marios Koufaris and Thomas Hess,alexander,service quality software service developing saas qual measure examining its,jmis,54
55,levent,evolutionary development information systems,,5,3,,,article,,,,j mana info syst,Levent Orman,levent,evolutionary development information systems,jmis,55
